site_id,refYear,latitude,longitude,Lonsdorf_big,Lonsdorf_small
PSJ,2023,37.488445,-5.9475667,0.053876716909732884,0.0212754460473895
RCB,2023,37.5240052,-5.8818075,0.04709212770691169,0.022992268545421926
RCV,2023,37.488073,-5.8837766,0.038872443282839314,0.016879795168552966
RJ1,2023,37.476992,-5.9211163000000004,0.04602802455669251,0.024672438469067033
RJ16,2023,37.4701785,-5.9172,0.0428111926009219,0.028908389034153582
RJ2,2023,37.4719691,-5.901102,0.0425715294008167,0.029184211892888577
RMI,2023,37.7099967,-5.9349672,0.4716319388779891,0.1626668747965269
RMO,2023,37.699565,-5.8639758,0.47754322976757146,0.2073015937370423
SSH,2023,37.6708586,-5.497438,0.07247680570665688,0.03528498923303377
SSM,2023,37.6163601,-5.6561561,0.09561270481816829,0.0401827176110884
SSS,2023,37.6784449,-5.447756,0.07280791777748007,0.0335068298344594
Casilla_Aranda,2020,37.624877,-4.518691,0.3416293777209587,0.18631317038778192
Casona,2020,37.74612,-3.62784,0.421717236715118,0.18661304077248916
Cortijo_Guadiana_extensivo,2020,37.897958,-3.209407,0.24362199338866955,0.13091113905357837
David_Lantejuela,2020,37.353015,-5.298202,0.09060951780128838,0.06196665059641007
La_Luna,2020,38.185758,-4.750848,0.4288206715674778,0.19999546407595925
Monva,2020,37.87143,-3.588215,0.31590087878744194,0.12337417090582588
Moraleda,2020,37.181332,-3.975632,0.2508251147202051,0.08674529206740529
Peña_del_Gallo,2020,36.994083,-5.470297,0.21696790609128694,0.10784959848066178
Piedras_Cucas,2020,37.768521,-4.102191,0.36546197476269715,0.1510617932982403
Tobazo,2020,37.555699,-4.041627,0.4147674059501301,0.19121187427512107
Toquillas,2020,37.558716,-4.403826,0.32494021317193594,0.1689777304511786
Torres_de_Albanchez,2020,38.400195,-2.652453,0.4055149662418092,0.19157597108395752
Buenas_noches,2021,36.3896336254593,-5.58834510073453,0.45508436459967644,0.20277517896530525
Fates,2021,36.12025,-5.669833,0.4489832392602501,0.20311181938862466
Marrufo,2021,36.573917,-5.536583,0.4596382383270948,0.20677669918165129
Montecoche,2021,36.2775290209507,-5.54787121675272,0.42862494220866715,0.19941091895712723
Montero,2021,36.47675,-5.600111,0.4290859606561149,0.17902564773498722
M_a1,2020,36.8411111,-2.12935,0.30762415773750024,0.08300385811369122
M_a2,2020,36.8413889,-2.128611111,0.3100651359932097,0.08782437689936903
M_a3,2020,36.8425,-2.1275,0.31210826336959235,0.09460122203747157
M_a4,2020,36.84374167,-2.12459722,0.3198636335224388,0.10899971476115568
S_a1,2020,36.84671944,-2.15596111,0.27534008539103827,0.15020531868988932
S_a2,2020,36.84698889,-2.15552222,0.2774386618684741,0.15164323041024869
S_a3,2020,36.84811111,-2.15476944,0.28556013712380623,0.1609024521018087
S_a4,2020,36.85024722,-2.15315,0.29963320490773576,0.178099950712899
A_b,2020,36.96067778,-1.99682778,0.46389523313898745,0.2318635924123642
A_c,2020,36.948055600000004,-1.952222222,0.3548524497821686,0.17330191238480916
B_a1,2020,36.9988889,-2.051197222,0.3088769914242492,0.1281369670361986
B_a2,2020,36.9988889,-2.050483333,0.31050838408319376,0.1317305157704048
B_a3,2020,36.9988889,-2.049244444,0.3135555974785597,0.13839419388557755
B_a4,2020,37.0002778,-2.046141667,0.3264361670688696,0.16267504786679546
C_b,2020,36.99322778,-2.09266389,0.3671436902336974,0.20100286791457075
E_a1,2020,36.9733333,-2.124508333,0.2639849852941234,0.10926359592780724
E_a2,2020,36.97420278,-2.12474444,0.27127485531923246,0.11662711196722778
E_a3,2020,36.97448611,-2.12864167,0.27872686426342036,0.12410774332598318
E_a4,2020,36.9772222,-2.129525,0.30165675246578205,0.1481818495889615
F_b,2020,36.9166667,-2.053836111,0.31023636736932403,0.15580842897929448
H_a1,2020,36.91945,-2.11865833,0.14161496964291123,0.033221683104859664
I_a1,2020,36.88548611,-2.21665833,0.22934249427074824,0.12243567026122393
I_a2,2020,36.88513611,-2.21679167,0.22946474537199907,0.12251900812533831
I_a3,2020,36.88414167,-2.21739444,0.23047806424996575,0.1236875911267541
I_a4,2020,36.882925,-2.22443056,0.26191483975495566,0.14971150885231038
J_a1,2020,36.9002778,-2.125627778,0.23982716393575554,0.11793385245591091
